Postcode,General Location,Regions
048616,Raffles Place,Central Singapore
069531,Cecil,Central Singapore
018985,Marina,Central Singapore
059108,People's Park,Central Singapore
079914,Anson,Central Singapore
088535,Tanjong Pagar,Central Singapore
159836,Bukit Merah,Central Singapore
149059,Queenstown,Central Singapore
161007,Tiong Bahru,Central Singapore
098829,Telok Blangah,Central Singapore
098633,Habourfront,Central Singapore
118719,Pasir Panjang,South West
127935,Hong Leong Garden,South West
120101,Clementi New Town,South West
179433,High Street,Central Singapore
199600,Beach Road,Central Singapore
188929,Middle Road,Central Singapore
199588,Golden Mile,Central Singapore
210668,Little India,Central Singapore
217562,Farrer Park,South West
208939,Jalan Besar,Central Singapore
208767,Lavender,North East
238897,Orchard,Central Singapore
229721,Cairnhill,Central Singapore
248364,River Valley,Central Singapore
259962,Ardmore,North West
259741,Bukit Timah,North West
278977,Holland Road,South West
247964,Tanglin,Central Singapore
287630,Watten Estate,North West
307684,Novena,North East
298191,Thomson,North West
329894,Balestier,North East
318995,Toa Payoh,North East
218108,Serangoon,North East
368237,MacPherson,North East
579704,Braddell,North East
350142,Potong Pasir,North East
341105,Bidadari,Central Singapore
388070,Geylang,South East
400415,Eunos,South East
380125,Aljunied,South East
437092,Katong,South East
420001,Joo Chiat,South East
439945,Amber Road,South East
469540,Bedok,South East
455286,Upper East Coast,South East
486613,Eastwood,South East
467955,Kew Drive,South East
507205,Loyang,South East
419901,Changi,South East
529890,Simei,South East
469695,Tampines,South East
510555,Pasir Ris,South East
554937,Serangoon Garden,North East
530357,Hougang,North East
546596,Punggol,North East
570191,Bishan,North East
569933,Ang Mo Kio,North East
678072,Upper Bukit Timah,North West
597158,Clementi Park,South West
596472,Ulu Pandan,North West
609128,Penjuru,South West
638368,Jurong,South West
628475,Pioneer,South West
638503,Tuas,South West
588187,Hillview,South West
679048,Dairy Farm,North West
670620,Bukit Panjang,North West
689482,Choa Chu Kang,North West
708977,Lim Chu Kang,South West
693126,Tengah,South West
739494,Kranji,North West
738210,Woodgrove,North West
677959,Woodlands,North West
574406,Upper Thomson,North East
787965,Springleaf,North East
760397,Yishun,North West
758391,Sembawang,North West
759907,Senoko,North West
797575,Seletar,North East